timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 11:13:01.261, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:02.261, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:03.262, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:04.262, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:05.262, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:06.263, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:07.263, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:08.263, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:09.264, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:10.264, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:11.264, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:12.265, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:13.265, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:14.265, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:15.265, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:13:16.266, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:17.266, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:18.266, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:19.267, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:20.267, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:21.267, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:22.267, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:23.268, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:24.268, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 55 %
2026/09/24 11:13:25.268, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:13:26.269, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:27.269, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 71 %
2026/09/24 11:13:28.269, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:29.269, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:30.270, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:31.270, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:32.270, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:33.270, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:34.271, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:35.271, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:36.271, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:37.272, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:38.272, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:39.272, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:40.272, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 91 %
2026/09/24 11:13:41.273, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:42.273, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:43.273, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:44.274, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:45.274, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:46.274, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:47.275, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:48.275, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:49.275, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:50.275, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:51.276, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:52.276, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:13:53.276, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:54.277, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:13:55.277, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:13:56.277, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:57.278, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:58.278, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:13:59.278, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:00.278, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:01.279, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:02.279, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:03.279, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:04.280, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:05.280, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:06.280, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:07.280, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:08.281, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:09.281, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:10.281, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:11.282, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:12.282, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:13.282, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:14.282, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:15.283, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:16.284, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:17.284, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:18.284, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:14:19.285, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:20.285, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:21.285, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:22.286, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:23.286, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:24.286, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:25.287, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:26.287, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:27.287, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:28.288, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:29.288, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:30.288, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:31.289, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:32.290, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
